Chart Count,Pressure [ Pa ]
0.00000000e+00, -2.21433568e+00
1.00000000e+00, -2.40860748e+00
2.00000000e+00, -2.60461473e+00
3.00000000e+00, -2.80064511e+00
4.00000000e+00, -2.99669504e+00
5.00000000e+00, -3.17584610e+00
6.00000000e+00, -3.19415712e+00
7.00000000e+00, -3.21247673e+00
8.00000000e+00, -3.23080516e+00
9.00000000e+00, -3.24913645e+00
1.00000000e+01, -3.25555754e+00
1.10000000e+01, -3.22487807e+00
1.20000000e+01, -3.19420147e+00
1.30000000e+01, -3.16355467e+00
1.40000000e+01, -3.13289356e+00
1.50000000e+01, -3.10915637e+00
1.60000000e+01, -3.09617686e+00
1.70000000e+01, -3.08319879e+00
1.80000000e+01, -3.07023597e+00
1.90000000e+01, -3.05726600e+00
2.00000000e+01, -3.05897427e+00
2.10000000e+01, -3.07322669e+00
2.20000000e+01, -3.08748031e+00
2.30000000e+01, -3.10173082e+00
2.40000000e+01, -3.11598420e+00
2.50000000e+01, -3.12914467e+00
2.60000000e+01, -3.14181066e+00
2.70000000e+01, -3.15447688e+00
2.80000000e+01, -3.16713881e+00
2.90000000e+01, -3.17980361e+00
3.00000000e+01, -3.20073366e+00
3.10000000e+01, -3.22330189e+00
3.20000000e+01, -3.24586987e+00
3.30000000e+01, -3.26842833e+00
3.40000000e+01, -3.29099369e+00
3.50000000e+01, -3.33993411e+00
3.60000000e+01, -3.38934374e+00
3.70000000e+01, -3.43875360e+00
3.80000000e+01, -3.48816395e+00
3.90000000e+01, -3.54453969e+00
4.00000000e+01, -3.64757466e+00
4.10000000e+01, -3.75060916e+00
4.20000000e+01, -3.85364461e+00
4.30000000e+01, -3.95668054e+00
4.40000000e+01, -4.06839991e+00
4.50000000e+01, -4.20280838e+00
4.60000000e+01, -4.33721590e+00
4.70000000e+01, -4.47162294e+00
4.80000000e+01, -4.60603046e+00
4.90000000e+01, -4.76285839e+00
5.00000000e+01, -4.94994164e+00
5.10000000e+01, -5.13702440e+00
5.20000000e+01, -5.32410765e+00
5.30000000e+01, -5.51119041e+00
5.40000000e+01, -5.71277332e+00
5.50000000e+01, -5.92514372e+00
5.60000000e+01, -6.13751316e+00
5.70000000e+01, -6.34988308e+00
5.80000000e+01, -6.56225443e+00
5.90000000e+01, -6.78195143e+00
6.00000000e+01, -7.00448561e+00
6.10000000e+01, -7.22701979e+00
6.20000000e+01, -7.44955349e+00
