Chart Count,Pressure [ Pa ]
0.00000000e+00, -3.56611341e-01
1.00000000e+00, 1.15522727e-01
2.00000000e+00, 6.10728979e-01
3.00000000e+00, 9.80840325e-01
4.00000000e+00, 1.27199388e+00
5.00000000e+00, 1.56375515e+00
6.00000000e+00, 1.74958789e+00
7.00000000e+00, 1.88402247e+00
8.00000000e+00, 2.02307463e+00
9.00000000e+00, 2.00436926e+00
1.00000000e+01, 1.98058736e+00
1.10000000e+01, 1.97524285e+00
1.20000000e+01, 1.97480154e+00
1.30000000e+01, 1.98054957e+00
1.40000000e+01, 1.98375797e+00
1.50000000e+01, 1.97572458e+00
1.60000000e+01, 1.96701729e+00
1.70000000e+01, 1.95903194e+00
1.80000000e+01, 1.93198562e+00
1.90000000e+01, 1.89367104e+00
2.00000000e+01, 1.80089736e+00
2.10000000e+01, 1.67972827e+00
2.20000000e+01, 1.54323316e+00
2.30000000e+01, 1.33121908e+00
2.40000000e+01, 1.11689842e+00
2.50000000e+01, 9.00299191e-01
2.60000000e+01, 6.73763514e-01
2.70000000e+01, 3.92872334e-01
2.80000000e+01, 1.14825316e-01
2.90000000e+01, -1.57781452e-01
3.00000000e+01, -4.53141302e-01
3.10000000e+01, -7.64727473e-01
3.20000000e+01, -1.07669318e+00
3.30000000e+01, -1.39150882e+00
3.40000000e+01, -1.75544071e+00
3.50000000e+01, -2.18837929e+00
3.60000000e+01, -2.62991023e+00
3.70000000e+01, -3.07227755e+00
3.80000000e+01, -3.51629424e+00
3.90000000e+01, -3.98988414e+00
4.00000000e+01, -4.47585487e+00
4.10000000e+01, -4.95309353e+00
4.20000000e+01, -5.42529774e+00
4.30000000e+01, -5.93026543e+00
4.40000000e+01, -6.52765179e+00
4.50000000e+01, -7.14172888e+00
4.60000000e+01, -7.76068687e+00
4.70000000e+01, -8.37773991e+00
4.80000000e+01, -8.99288940e+00
4.90000000e+01, -9.64938450e+00
5.00000000e+01, -1.03654823e+01
5.10000000e+01, -1.10764990e+01
5.20000000e+01, -1.17866354e+01
5.30000000e+01, -1.24976368e+01
5.40000000e+01, -1.32357359e+01
5.50000000e+01, -1.39753170e+01
5.60000000e+01, -1.47136154e+01
5.70000000e+01, -1.54521561e+01
5.80000000e+01, -1.61932106e+01
5.90000000e+01, -1.70264645e+01
6.00000000e+01, -1.78951607e+01
6.10000000e+01, -1.87675762e+01
6.20000000e+01, -1.96955280e+01
6.30000000e+01, -2.06850510e+01
6.40000000e+01, -2.16709423e+01
6.50000000e+01, -2.27106876e+01
6.60000000e+01, -2.38854408e+01
6.70000000e+01, -2.50535965e+01
6.80000000e+01, -2.62279930e+01
6.90000000e+01, -2.75314407e+01
7.00000000e+01, -2.88278618e+01
7.10000000e+01, -3.01152344e+01
7.20000000e+01, -3.14488106e+01
7.30000000e+01, -3.27813034e+01
7.40000000e+01, -3.41083374e+01
