Chart Count,Pressure [ Pa ]
0.00000000e+00, -1.58397913e+03
1.00000000e+00, -1.44342371e+03
2.00000000e+00, -1.30293384e+03
3.00000000e+00, -1.16235522e+03
4.00000000e+00, -1.02182642e+03
5.00000000e+00, -8.91967590e+02
6.00000000e+00, -8.23728333e+02
7.00000000e+00, -7.55489075e+02
8.00000000e+00, -6.87208801e+02
9.00000000e+00, -6.18952698e+02
1.00000000e+01, -5.57572388e+02
1.10000000e+01, -5.12623230e+02
1.20000000e+01, -4.67674103e+02
1.30000000e+01, -4.22701569e+02
1.40000000e+01, -3.77742706e+02
1.50000000e+01, -3.37921082e+02
1.60000000e+01, -3.04571625e+02
1.70000000e+01, -2.71222168e+02
1.80000000e+01, -2.37854218e+02
1.90000000e+01, -2.04497345e+02
2.00000000e+01, -1.75122375e+02
2.10000000e+01, -1.48512527e+02
2.20000000e+01, -1.21902657e+02
2.30000000e+01, -9.52927551e+01
2.40000000e+01, -6.86699600e+01
2.50000000e+01, -4.50626259e+01
2.60000000e+01, -2.25247841e+01
2.70000000e+01, 1.30706802e-02
2.80000000e+01, 2.25509396e+01
2.90000000e+01, 4.51001091e+01
3.00000000e+01, 6.51589127e+01
3.10000000e+01, 8.48963852e+01
3.20000000e+01, 1.04633873e+02
3.30000000e+01, 1.24371361e+02
3.40000000e+01, 1.44048996e+02
3.50000000e+01, 1.61780640e+02
3.60000000e+01, 1.79512329e+02
3.70000000e+01, 1.97243988e+02
3.80000000e+01, 2.14975647e+02
3.90000000e+01, 2.32353653e+02
4.00000000e+01, 2.48117889e+02
4.10000000e+01, 2.63882141e+02
4.20000000e+01, 2.79646393e+02
4.30000000e+01, 2.95410583e+02
4.40000000e+01, 3.10671387e+02
4.50000000e+01, 3.24905701e+02
4.60000000e+01, 3.39140045e+02
4.70000000e+01, 3.53374329e+02
4.80000000e+01, 3.67608673e+02
4.90000000e+01, 3.81205170e+02
5.00000000e+01, 3.94101715e+02
5.10000000e+01, 4.06998322e+02
5.20000000e+01, 4.19894897e+02
5.30000000e+01, 4.32791443e+02
5.40000000e+01, 4.44975128e+02
5.50000000e+01, 4.56730042e+02
5.60000000e+01, 4.68484802e+02
5.70000000e+01, 4.80239716e+02
5.80000000e+01, 4.91994568e+02
5.90000000e+01, 5.02981079e+02
6.00000000e+01, 5.13740784e+02
6.10000000e+01, 5.24500366e+02
6.20000000e+01, 5.35260193e+02
6.30000000e+01, 5.46019836e+02
6.40000000e+01, 5.55974243e+02
6.50000000e+01, 5.65858582e+02
6.60000000e+01, 5.75742920e+02
6.70000000e+01, 5.85627136e+02
6.80000000e+01, 5.95457458e+02
6.90000000e+01, 6.04542480e+02
7.00000000e+01, 6.13627380e+02
7.10000000e+01, 6.22712463e+02
7.20000000e+01, 6.31797424e+02
7.30000000e+01, 6.40728271e+02
7.40000000e+01, 6.49096802e+02
7.50000000e+01, 6.57465515e+02
7.60000000e+01, 6.65834167e+02
7.70000000e+01, 6.74202820e+02
7.80000000e+01, 6.82371765e+02
7.90000000e+01, 6.90189880e+02
8.00000000e+01, 6.98008118e+02
8.10000000e+01, 7.05826355e+02
8.20000000e+01, 7.13644592e+02
8.30000000e+01, 7.21199585e+02
8.40000000e+01, 7.28502380e+02
8.50000000e+01, 7.35805237e+02
