Chart Count,Pressure [ Pa ]
0.00000000e+00, -6.98896423e+02
1.00000000e+00, -6.85553955e+02
2.00000000e+00, -6.68771484e+02
3.00000000e+00, -6.45461548e+02
4.00000000e+00, -6.22256104e+02
5.00000000e+00, -5.99154419e+02
6.00000000e+00, -5.76156738e+02
7.00000000e+00, -5.53260986e+02
8.00000000e+00, -5.26749756e+02
9.00000000e+00, -5.00158813e+02
1.00000000e+01, -4.73716278e+02
1.10000000e+01, -4.47421326e+02
1.20000000e+01, -4.21273712e+02
1.30000000e+01, -3.94898712e+02
1.40000000e+01, -3.68412903e+02
1.50000000e+01, -3.42046417e+02
1.60000000e+01, -3.15798798e+02
1.70000000e+01, -2.89682526e+02
1.80000000e+01, -2.64017059e+02
1.90000000e+01, -2.39150330e+02
2.00000000e+01, -2.14358063e+02
2.10000000e+01, -1.89625061e+02
2.20000000e+01, -1.64982742e+02
2.30000000e+01, -1.40506119e+02
2.40000000e+01, -1.17974785e+02
2.50000000e+01, -9.55056686e+01
2.60000000e+01, -7.30929642e+01
2.70000000e+01, -5.07341347e+01
2.80000000e+01, -2.84290142e+01
2.90000000e+01, -8.02485943e+00
3.00000000e+01, 1.20226784e+01
3.10000000e+01, 3.20356750e+01
3.20000000e+01, 5.20138550e+01
3.30000000e+01, 7.19575500e+01
3.40000000e+01, 9.06567307e+01
3.50000000e+01, 1.08667862e+02
3.60000000e+01, 1.26655502e+02
3.70000000e+01, 1.44619415e+02
3.80000000e+01, 1.62559830e+02
3.90000000e+01, 1.79697205e+02
4.00000000e+01, 1.96062164e+02
4.10000000e+01, 2.12409698e+02
4.20000000e+01, 2.28739899e+02
4.30000000e+01, 2.45052551e+02
4.40000000e+01, 2.60685883e+02
4.50000000e+01, 2.75495911e+02
4.60000000e+01, 2.90284180e+02
4.70000000e+01, 3.05062927e+02
4.80000000e+01, 3.19829407e+02
4.90000000e+01, 3.33973816e+02
5.00000000e+01, 3.47432678e+02
5.10000000e+01, 3.60879700e+02
5.20000000e+01, 3.74318848e+02
5.30000000e+01, 3.87748840e+02
5.40000000e+01, 4.00583099e+02
5.50000000e+01, 4.12836090e+02
5.60000000e+01, 4.25079895e+02
5.70000000e+01, 4.37316986e+02
5.80000000e+01, 4.49546356e+02
5.90000000e+01, 4.61228699e+02
6.00000000e+01, 4.72440674e+02
6.10000000e+01, 4.83645416e+02
6.20000000e+01, 4.94842987e+02
6.30000000e+01, 5.06033295e+02
6.40000000e+01, 5.16715576e+02
6.50000000e+01, 5.27011047e+02
6.60000000e+01, 5.37300354e+02
6.70000000e+01, 5.47583374e+02
6.80000000e+01, 5.57860168e+02
6.90000000e+01, 5.67649719e+02
7.00000000e+01, 5.77116150e+02
7.10000000e+01, 5.86577637e+02
7.20000000e+01, 5.96034180e+02
7.30000000e+01, 6.05485779e+02
7.40000000e+01, 6.14467590e+02
7.50000000e+01, 6.23178101e+02
7.60000000e+01, 6.31884216e+02
7.70000000e+01, 6.40585938e+02
7.80000000e+01, 6.49283203e+02
7.90000000e+01, 6.57533997e+02
8.00000000e+01, 6.65560791e+02
8.10000000e+01, 6.73583496e+02
8.20000000e+01, 6.81602173e+02
8.30000000e+01, 6.89616760e+02
8.40000000e+01, 6.97251892e+02
8.50000000e+01, 7.04722107e+02
8.60000000e+01, 7.12188538e+02
8.70000000e+01, 7.19650757e+02
8.80000000e+01, 7.27109436e+02
8.90000000e+01, 7.34202393e+02
9.00000000e+01, 7.41156555e+02
9.10000000e+01, 7.48107666e+02
9.20000000e+01, 7.55054810e+02
9.30000000e+01, 7.61998535e+02
9.40000000e+01, 7.68563904e+02
9.50000000e+01, 7.75007813e+02
9.60000000e+01, 7.81448364e+02
9.70000000e+01, 7.87885864e+02
9.80000000e+01, 7.94319824e+02
9.90000000e+01, 8.00401001e+02
1.00000000e+02, 8.06387512e+02
1.01000000e+02, 8.12370972e+02
1.02000000e+02, 8.18351257e+02
1.03000000e+02, 8.24328491e+02
1.04000000e+02, 8.29990906e+02
1.05000000e+02, 8.35584656e+02
1.06000000e+02, 8.41180969e+02
1.07000000e+02, 8.46775085e+02
1.08000000e+02, 8.52367004e+02
1.09000000e+02, 8.57686157e+02
1.10000000e+02, 8.62957458e+02
1.11000000e+02, 8.68225220e+02
1.12000000e+02, 8.73489441e+02
1.13000000e+02, 8.78750061e+02
1.14000000e+02, 8.83711548e+02
1.15000000e+02, 8.88631165e+02
1.16000000e+02, 8.93547302e+02
1.17000000e+02, 8.98461792e+02
1.18000000e+02, 9.03372009e+02
1.19000000e+02, 9.08026611e+02
1.20000000e+02, 9.12656677e+02
1.21000000e+02, 9.17283386e+02
1.22000000e+02, 9.21909180e+02
1.23000000e+02, 9.26529785e+02
1.24000000e+02, 9.30885376e+02
1.25000000e+02, 9.35225708e+02
1.26000000e+02, 9.39562561e+02
1.27000000e+02, 9.43897461e+02
1.28000000e+02, 9.48260376e+02
1.29000000e+02, 9.52343994e+02
1.30000000e+02, 9.56454895e+02
1.31000000e+02, 9.60561768e+02
1.32000000e+02, 9.64664978e+02
1.33000000e+02, 9.68760559e+02
1.34000000e+02, 9.72692444e+02
1.35000000e+02, 9.76620178e+02
1.36000000e+02, 9.80543335e+02
1.37000000e+02, 9.84462524e+02
1.38000000e+02, 9.88367126e+02
1.39000000e+02, 9.92108826e+02
1.40000000e+02, 9.95843750e+02
1.41000000e+02, 9.99574402e+02
1.42000000e+02, 1.00330042e+03
1.43000000e+02, 1.00700519e+03
1.44000000e+02, 1.01052197e+03
1.45000000e+02, 1.01403333e+03
1.46000000e+02, 1.01753918e+03
1.47000000e+02, 1.02103973e+03
1.48000000e+02, 1.02452490e+03
1.49000000e+02, 1.02792163e+03
1.50000000e+02, 1.03131213e+03
1.51000000e+02, 1.03469592e+03
1.52000000e+02, 1.03807349e+03
1.53000000e+02, 1.04142908e+03
1.54000000e+02, 1.04467871e+03
1.55000000e+02, 1.04791895e+03
1.56000000e+02, 1.05115173e+03
1.57000000e+02, 1.05437671e+03
1.58000000e+02, 1.05757837e+03
1.59000000e+02, 1.06068445e+03
1.60000000e+02, 1.06378210e+03
1.61000000e+02, 1.06687012e+03
1.62000000e+02, 1.06994897e+03
1.63000000e+02, 1.07301160e+03
1.64000000e+02, 1.07602930e+03
1.65000000e+02, 1.07903589e+03
1.66000000e+02, 1.08203076e+03
1.67000000e+02, 1.08501331e+03
1.68000000e+02, 1.08795142e+03
