Chart Count,Pressure [ Pa ]
0.00000000e+00, -7.73824829e+02
1.00000000e+00, -7.63449646e+02
2.00000000e+00, -7.53065186e+02
3.00000000e+00, -7.42697021e+02
4.00000000e+00, -7.32325928e+02
5.00000000e+00, -7.22039978e+02
6.00000000e+00, -7.22173340e+02
7.00000000e+00, -7.22306274e+02
8.00000000e+00, -7.22439209e+02
9.00000000e+00, -7.22572144e+02
1.00000000e+01, -7.22741211e+02
1.10000000e+01, -7.24926819e+02
1.20000000e+01, -7.27112427e+02
1.30000000e+01, -7.29299316e+02
1.40000000e+01, -7.31485474e+02
1.50000000e+01, -7.33695618e+02
1.60000000e+01, -7.36779358e+02
1.70000000e+01, -7.39863281e+02
1.80000000e+01, -7.42947021e+02
1.90000000e+01, -7.46032715e+02
2.00000000e+01, -7.49127869e+02
2.10000000e+01, -7.52501831e+02
2.20000000e+01, -7.55875854e+02
2.30000000e+01, -7.59249878e+02
2.40000000e+01, -7.62625732e+02
2.50000000e+01, -7.66011475e+02
2.60000000e+01, -7.69627380e+02
2.70000000e+01, -7.73243408e+02
2.80000000e+01, -7.76859314e+02
2.90000000e+01, -7.80477295e+02
3.00000000e+01, -7.84088745e+02
3.10000000e+01, -7.87602112e+02
3.20000000e+01, -7.91115479e+02
3.30000000e+01, -7.94628784e+02
3.40000000e+01, -7.98142151e+02
3.50000000e+01, -8.01644287e+02
3.60000000e+01, -8.04961792e+02
3.70000000e+01, -8.08279175e+02
3.80000000e+01, -8.11596680e+02
3.90000000e+01, -8.14914185e+02
4.00000000e+01, -8.18215759e+02
4.10000000e+01, -8.21296387e+02
4.20000000e+01, -8.24377075e+02
4.30000000e+01, -8.27457703e+02
4.40000000e+01, -8.30538330e+02
4.50000000e+01, -8.33604065e+02
4.60000000e+01, -8.36493530e+02
4.70000000e+01, -8.39383057e+02
4.80000000e+01, -8.42272522e+02
4.90000000e+01, -8.45161987e+02
5.00000000e+01, -8.48029358e+02
5.10000000e+01, -8.50664978e+02
5.20000000e+01, -8.53300659e+02
5.30000000e+01, -8.55936218e+02
5.40000000e+01, -8.58571838e+02
5.50000000e+01, -8.61169739e+02
5.60000000e+01, -8.63411987e+02
5.70000000e+01, -8.65654175e+02
5.80000000e+01, -8.67896362e+02
5.90000000e+01, -8.70138550e+02
6.00000000e+01, -8.72376160e+02
6.10000000e+01, -8.74574158e+02
6.20000000e+01, -8.76772339e+02
6.30000000e+01, -8.78970337e+02
6.40000000e+01, -8.81168457e+02
6.50000000e+01, -8.83384155e+02
6.60000000e+01, -8.85738586e+02
6.70000000e+01, -8.88093018e+02
6.80000000e+01, -8.90447449e+02
