Chart Count,Pressure [ Pa ]
0.00000000e+00, -1.37585303e+03
1.00000000e+00, -1.38705212e+03
2.00000000e+00, -1.39821692e+03
3.00000000e+00, -1.40934753e+03
4.00000000e+00, -1.41766724e+03
5.00000000e+00, -1.42385815e+03
6.00000000e+00, -1.42621545e+03
7.00000000e+00, -1.42853857e+03
8.00000000e+00, -1.43082727e+03
9.00000000e+00, -1.43307324e+03
1.00000000e+01, -1.43527222e+03
1.10000000e+01, -1.43743872e+03
1.20000000e+01, -1.43826892e+03
1.30000000e+01, -1.43708435e+03
1.40000000e+01, -1.43588330e+03
1.50000000e+01, -1.43464893e+03
1.60000000e+01, -1.43339661e+03
1.70000000e+01, -1.43212817e+03
1.80000000e+01, -1.43084375e+03
1.90000000e+01, -1.42917786e+03
2.00000000e+01, -1.42674023e+03
2.10000000e+01, -1.42429822e+03
2.20000000e+01, -1.42185168e+03
2.30000000e+01, -1.41940088e+03
2.40000000e+01, -1.41694568e+03
2.50000000e+01, -1.41446606e+03
2.60000000e+01, -1.41185828e+03
2.70000000e+01, -1.40913916e+03
2.80000000e+01, -1.40639709e+03
2.90000000e+01, -1.40365405e+03
3.00000000e+01, -1.40091003e+03
3.10000000e+01, -1.39816504e+03
3.20000000e+01, -1.39542358e+03
3.30000000e+01, -1.39269824e+03
3.40000000e+01, -1.38997266e+03
3.50000000e+01, -1.38724927e+03
3.60000000e+01, -1.38452209e+03
3.70000000e+01, -1.38179004e+03
3.80000000e+01, -1.37904321e+03
3.90000000e+01, -1.37638135e+03
4.00000000e+01, -1.37370557e+03
4.10000000e+01, -1.37102759e+03
4.20000000e+01, -1.36834937e+03
4.30000000e+01, -1.36567126e+03
4.40000000e+01, -1.36299512e+03
4.50000000e+01, -1.36040125e+03
4.60000000e+01, -1.35782422e+03
4.70000000e+01, -1.35524707e+03
4.80000000e+01, -1.35266992e+03
4.90000000e+01, -1.35009265e+03
5.00000000e+01, -1.34751013e+03
5.10000000e+01, -1.34499683e+03
5.20000000e+01, -1.34250635e+03
5.30000000e+01, -1.34001550e+03
5.40000000e+01, -1.33752478e+03
5.50000000e+01, -1.33503394e+03
5.60000000e+01, -1.33254321e+03
5.70000000e+01, -1.33013171e+03
5.80000000e+01, -1.32774927e+03
5.90000000e+01, -1.32536670e+03
6.00000000e+01, -1.32298413e+03
6.10000000e+01, -1.32060193e+03
6.20000000e+01, -1.31820154e+03
6.30000000e+01, -1.31588525e+03
6.40000000e+01, -1.31357751e+03
6.50000000e+01, -1.31125439e+03
6.60000000e+01, -1.30893140e+03
6.70000000e+01, -1.30660828e+03
6.80000000e+01, -1.30431055e+03
6.90000000e+01, -1.30208606e+03
7.00000000e+01, -1.29985779e+03
7.10000000e+01, -1.29761792e+03
7.20000000e+01, -1.29537781e+03
7.30000000e+01, -1.29314282e+03
7.40000000e+01, -1.29097900e+03
7.50000000e+01, -1.28881506e+03
7.60000000e+01, -1.28665125e+03
7.70000000e+01, -1.28448743e+03
7.80000000e+01, -1.28234033e+03
7.90000000e+01, -1.28021021e+03
8.00000000e+01, -1.27808032e+03
8.10000000e+01, -1.27595020e+03
8.20000000e+01, -1.27382910e+03
8.30000000e+01, -1.27176086e+03
8.40000000e+01, -1.26969836e+03
8.50000000e+01, -1.26765588e+03
8.60000000e+01, -1.26561340e+03
8.70000000e+01, -1.26358032e+03
8.80000000e+01, -1.26157544e+03
8.90000000e+01, -1.25957092e+03
9.00000000e+01, -1.25756995e+03
9.10000000e+01, -1.25558435e+03
9.20000000e+01, -1.25364160e+03
9.30000000e+01, -1.25169873e+03
9.40000000e+01, -1.24973962e+03
9.50000000e+01, -1.24777490e+03
9.60000000e+01, -1.24588501e+03
9.70000000e+01, -1.24399060e+03
9.80000000e+01, -1.24207251e+03
9.90000000e+01, -1.24015442e+03
1.00000000e+02, -1.23826453e+03
1.01000000e+02, -1.23641284e+03
1.02000000e+02, -1.23455847e+03
1.03000000e+02, -1.23270227e+03
1.04000000e+02, -1.23085840e+03
1.05000000e+02, -1.22905139e+03
1.06000000e+02, -1.22724451e+03
1.07000000e+02, -1.22543079e+03
1.08000000e+02, -1.22364368e+03
1.09000000e+02, -1.22188721e+03
1.10000000e+02, -1.22012708e+03
1.11000000e+02, -1.21836694e+03
1.12000000e+02, -1.21660693e+03
1.13000000e+02, -1.21487256e+03
1.14000000e+02, -1.21316797e+03
1.15000000e+02, -1.21146362e+03
1.16000000e+02, -1.20976355e+03
1.17000000e+02, -1.20808423e+03
1.18000000e+02, -1.20641504e+03
1.19000000e+02, -1.20474597e+03
1.20000000e+02, -1.20307666e+03
1.21000000e+02, -1.20141528e+03
1.22000000e+02, -1.19977710e+03
1.23000000e+02, -1.19816028e+03
1.24000000e+02, -1.19653870e+03
1.25000000e+02, -1.19491309e+03
1.26000000e+02, -1.19330103e+03
1.27000000e+02, -1.19172681e+03
1.28000000e+02, -1.19015259e+03
1.29000000e+02, -1.18857825e+03
1.30000000e+02, -1.18699841e+03
1.31000000e+02, -1.18542773e+03
1.32000000e+02, -1.18390405e+03
1.33000000e+02, -1.18238208e+03
1.34000000e+02, -1.18086035e+03
1.35000000e+02, -1.17933850e+03
1.36000000e+02, -1.17781665e+03
1.37000000e+02, -1.17633240e+03
1.38000000e+02, -1.17485376e+03
1.39000000e+02, -1.17337866e+03
1.40000000e+02, -1.17190479e+03
1.41000000e+02, -1.17043079e+03
1.42000000e+02, -1.16897095e+03
1.43000000e+02, -1.16752661e+03
1.44000000e+02, -1.16608362e+03
1.45000000e+02, -1.16464783e+03
1.46000000e+02, -1.16321204e+03
1.47000000e+02, -1.16177637e+03
1.48000000e+02, -1.16035242e+03
1.49000000e+02, -1.15894922e+03
1.50000000e+02, -1.15754614e+03
1.51000000e+02, -1.15615735e+03
1.52000000e+02, -1.15477075e+03
1.53000000e+02, -1.15338391e+03
1.54000000e+02, -1.15200964e+03
1.55000000e+02, -1.15065430e+03
1.56000000e+02, -1.14930798e+03
1.57000000e+02, -1.14797864e+03
1.58000000e+02, -1.14664917e+03
1.59000000e+02, -1.14532056e+03
1.60000000e+02, -1.14399683e+03
1.61000000e+02, -1.14268262e+03
1.62000000e+02, -1.14138965e+03
1.63000000e+02, -1.14009644e+03
1.64000000e+02, -1.13880334e+03
1.65000000e+02, -1.13750903e+03
1.66000000e+02, -1.13621509e+03
1.67000000e+02, -1.13493225e+03
1.68000000e+02, -1.13364966e+03
1.69000000e+02, -1.13236694e+03
1.70000000e+02, -1.13108411e+03
1.71000000e+02, -1.12982532e+03
1.72000000e+02, -1.12858374e+03
1.73000000e+02, -1.12732129e+03
1.74000000e+02, -1.12609717e+03
1.75000000e+02, -1.12485181e+03
1.76000000e+02, -1.12363379e+03
1.77000000e+02, -1.12242102e+03
1.78000000e+02, -1.12119983e+03
1.79000000e+02, -1.11997473e+03
1.80000000e+02, -1.11875049e+03
1.81000000e+02, -1.11755591e+03
1.82000000e+02, -1.11637109e+03
1.83000000e+02, -1.11519250e+03
1.84000000e+02, -1.11401392e+03
1.85000000e+02, -1.11283521e+03
1.86000000e+02, -1.11166357e+03
1.87000000e+02, -1.11050928e+03
1.88000000e+02, -1.10936145e+03
1.89000000e+02, -1.10821350e+03
1.90000000e+02, -1.10706567e+03
1.91000000e+02, -1.10591772e+03
1.92000000e+02, -1.10477808e+03
1.93000000e+02, -1.10364709e+03
1.94000000e+02, -1.10251367e+03
1.95000000e+02, -1.10138025e+03
1.96000000e+02, -1.10024683e+03
1.97000000e+02, -1.09914282e+03
1.98000000e+02, -1.09804736e+03
1.99000000e+02, -1.09695190e+03
2.00000000e+02, -1.09585645e+03
2.01000000e+02, -1.09476196e+03
2.02000000e+02, -1.09368970e+03
2.03000000e+02, -1.09261499e+03
2.04000000e+02, -1.09154041e+03
2.05000000e+02, -1.09046594e+03
2.06000000e+02, -1.08939758e+03
2.07000000e+02, -1.08834351e+03
2.08000000e+02, -1.08728955e+03
2.09000000e+02, -1.08623547e+03
2.10000000e+02, -1.08518103e+03
2.11000000e+02, -1.08412695e+03
2.12000000e+02, -1.08307678e+03
2.13000000e+02, -1.08202649e+03
2.14000000e+02, -1.08097595e+03
2.15000000e+02, -1.07992554e+03
2.16000000e+02, -1.07890186e+03
2.17000000e+02, -1.07788843e+03
2.18000000e+02, -1.07687500e+03
2.19000000e+02, -1.07586157e+03
2.20000000e+02, -1.07484216e+03
2.21000000e+02, -1.07385364e+03
2.22000000e+02, -1.07286475e+03
2.23000000e+02, -1.07187585e+03
2.24000000e+02, -1.07088721e+03
2.25000000e+02, -1.06990161e+03
2.26000000e+02, -1.06893628e+03
2.27000000e+02, -1.06797095e+03
2.28000000e+02, -1.06700562e+03
2.29000000e+02, -1.06604028e+03
2.30000000e+02, -1.06506653e+03
2.31000000e+02, -1.06408472e+03
2.32000000e+02, -1.06310303e+03
2.33000000e+02, -1.06212122e+03
2.34000000e+02, -1.06114075e+03
2.35000000e+02, -1.06016296e+03
2.36000000e+02, -1.05918140e+03
2.37000000e+02, -1.05819971e+03
2.38000000e+02, -1.05724011e+03
2.39000000e+02, -1.05629553e+03
2.40000000e+02, -1.05534729e+03
2.41000000e+02, -1.05439722e+03
2.42000000e+02, -1.05344727e+03
2.43000000e+02, -1.05251392e+03
2.44000000e+02, -1.05159387e+03
2.45000000e+02, -1.05067383e+03
2.46000000e+02, -1.04975378e+03
2.47000000e+02, -1.04883276e+03
2.48000000e+02, -1.04791052e+03
2.49000000e+02, -1.04699536e+03
2.50000000e+02, -1.04607910e+03
2.51000000e+02, -1.04516211e+03
2.52000000e+02, -1.04424512e+03
2.53000000e+02, -1.04332825e+03
2.54000000e+02, -1.04242456e+03
2.55000000e+02, -1.04152271e+03
2.56000000e+02, -1.04062378e+03
2.57000000e+02, -1.03973181e+03
2.58000000e+02, -1.03883984e+03
2.59000000e+02, -1.03796863e+03
2.60000000e+02, -1.03710620e+03
2.61000000e+02, -1.03624377e+03
2.62000000e+02, -1.03537476e+03
2.63000000e+02, -1.03450537e+03
2.64000000e+02, -1.03364111e+03
2.65000000e+02, -1.03279553e+03
2.66000000e+02, -1.03193469e+03
2.67000000e+02, -1.03107043e+03
2.68000000e+02, -1.03020618e+03
2.69000000e+02, -1.02934399e+03
2.70000000e+02, -1.02848279e+03
2.71000000e+02, -1.02761853e+03
2.72000000e+02, -1.02675415e+03
2.73000000e+02, -1.02589026e+03
2.74000000e+02, -1.02503027e+03
2.75000000e+02, -1.02418567e+03
2.76000000e+02, -1.02336426e+03
2.77000000e+02, -1.02254272e+03
2.78000000e+02, -1.02171985e+03
2.79000000e+02, -1.02089697e+03
2.80000000e+02, -1.02008801e+03
2.81000000e+02, -1.01929022e+03
2.82000000e+02, -1.01849255e+03
2.83000000e+02, -1.01769482e+03
2.84000000e+02, -1.01689307e+03
2.85000000e+02, -1.01607861e+03
2.86000000e+02, -1.01526422e+03
2.87000000e+02, -1.01444977e+03
2.88000000e+02, -1.01363550e+03
2.89000000e+02, -1.01282166e+03
2.90000000e+02, -1.01200818e+03
2.91000000e+02, -1.01119470e+03
2.92000000e+02, -1.01038123e+03
2.93000000e+02, -1.00958246e+03
2.94000000e+02, -1.00878809e+03
2.95000000e+02, -1.00799365e+03
2.96000000e+02, -1.00719928e+03
2.97000000e+02, -1.00640747e+03
2.98000000e+02, -1.00563013e+03
2.99000000e+02, -1.00485986e+03
3.00000000e+02, -1.00408978e+03
3.01000000e+02, -1.00331958e+03
3.02000000e+02, -1.00254944e+03
