Chart Count,Wall Shear Y [ Pa ]
0.00000000e+00, -3.48548710e-01
1.00000000e+00, -3.76227677e-01
2.00000000e+00, -3.65900338e-01
3.00000000e+00, -3.55667323e-01
4.00000000e+00, -3.50261986e-01
5.00000000e+00, -3.48201007e-01
6.00000000e+00, -3.46170992e-01
7.00000000e+00, -3.44170243e-01
8.00000000e+00, -3.44255239e-01
9.00000000e+00, -3.44513774e-01
1.00000000e+01, -3.44778240e-01
1.10000000e+01, -3.44973564e-01
1.20000000e+01, -3.42791975e-01
1.30000000e+01, -3.40644181e-01
1.40000000e+01, -3.38524520e-01
1.50000000e+01, -3.36368799e-01
1.60000000e+01, -3.33391756e-01
1.70000000e+01, -3.30425352e-01
1.80000000e+01, -3.27469409e-01
1.90000000e+01, -3.24523747e-01
2.00000000e+01, -3.23672116e-01
2.10000000e+01, -3.22880328e-01
2.20000000e+01, -3.22062492e-01
2.30000000e+01, -3.21219087e-01
2.40000000e+01, -3.20393592e-01
2.50000000e+01, -3.19551975e-01
2.60000000e+01, -3.18683147e-01
2.70000000e+01, -3.17787588e-01
2.80000000e+01, -3.17965031e-01
2.90000000e+01, -3.18983704e-01
3.00000000e+01, -3.19982886e-01
3.10000000e+01, -3.20962757e-01
3.20000000e+01, -3.21474552e-01
3.30000000e+01, -3.20214748e-01
3.40000000e+01, -3.18956286e-01
3.50000000e+01, -3.17698956e-01
3.60000000e+01, -3.16442937e-01
3.70000000e+01, -3.14778924e-01
3.80000000e+01, -3.12907755e-01
3.90000000e+01, -3.11038733e-01
4.00000000e+01, -3.09172094e-01
4.10000000e+01, -3.07308972e-01
4.20000000e+01, -3.09592754e-01
4.30000000e+01, -3.12639445e-01
4.40000000e+01, -3.15673709e-01
4.50000000e+01, -3.18695784e-01
4.60000000e+01, -3.21694553e-01
4.70000000e+01, -3.23725522e-01
4.80000000e+01, -3.25600922e-01
4.90000000e+01, -3.27459514e-01
5.00000000e+01, -3.29301357e-01
5.10000000e+01, -3.31126541e-01
5.20000000e+01, -3.32754701e-01
5.30000000e+01, -3.34349632e-01
5.40000000e+01, -3.35930049e-01
5.50000000e+01, -3.37495863e-01
5.60000000e+01, -3.39047253e-01
5.70000000e+01, -3.40851873e-01
5.80000000e+01, -3.42659920e-01
5.90000000e+01, -3.44463587e-01
6.00000000e+01, -3.46258998e-01
6.10000000e+01, -3.48046243e-01
6.20000000e+01, -3.49220663e-01
6.30000000e+01, -3.50372702e-01
6.40000000e+01, -3.51536393e-01
6.50000000e+01, -3.52709979e-01
6.60000000e+01, -3.53893250e-01
6.70000000e+01, -3.54156375e-01
6.80000000e+01, -3.54440212e-01
6.90000000e+01, -3.54754120e-01
7.00000000e+01, -3.55106235e-01
7.10000000e+01, -3.55483621e-01
7.20000000e+01, -3.54869068e-01
7.30000000e+01, -3.54331702e-01
7.40000000e+01, -3.53870094e-01
7.50000000e+01, -3.53486031e-01
7.60000000e+01, -3.53161871e-01
7.70000000e+01, -3.52576584e-01
7.80000000e+01, -3.52101356e-01
7.90000000e+01, -3.51737052e-01
8.00000000e+01, -3.51481616e-01
8.10000000e+01, -3.51179928e-01
8.20000000e+01, -3.49020243e-01
8.30000000e+01, -3.47014934e-01
8.40000000e+01, -3.45163971e-01
8.50000000e+01, -3.43467355e-01
8.60000000e+01, -3.41862112e-01
8.70000000e+01, -3.39936942e-01
8.80000000e+01, -3.38243067e-01
8.90000000e+01, -3.36780459e-01
9.00000000e+01, -3.35549176e-01
9.10000000e+01, -3.34492326e-01
9.20000000e+01, -3.33350897e-01
9.30000000e+01, -3.32575768e-01
9.40000000e+01, -3.31889600e-01
9.50000000e+01, -3.29914421e-01
9.60000000e+01, -3.27655315e-01
