Chart Count,Wall Shear Y [ Pa ]
0.00000000e+00, 1.27227163e+01
1.00000000e+00, 1.23128376e+01
2.00000000e+00, 1.19031487e+01
3.00000000e+00, 1.14916372e+01
4.00000000e+00, 1.10813122e+01
5.00000000e+00, 1.06860247e+01
6.00000000e+00, 1.03795404e+01
7.00000000e+00, 1.00730658e+01
8.00000000e+00, 9.76554585e+00
9.00000000e+00, 9.45874119e+00
1.00000000e+01, 9.19442940e+00
1.10000000e+01, 9.03228855e+00
1.20000000e+01, 8.87015438e+00
1.30000000e+01, 8.70724678e+00
1.40000000e+01, 8.54485321e+00
1.50000000e+01, 8.39863968e+00
1.60000000e+01, 8.27311420e+00
1.70000000e+01, 8.14759350e+00
1.80000000e+01, 8.02160168e+00
1.90000000e+01, 7.89592171e+00
2.00000000e+01, 7.78736401e+00
2.10000000e+01, 7.69078636e+00
2.20000000e+01, 7.59421062e+00
2.30000000e+01, 7.49763966e+00
2.40000000e+01, 7.40078115e+00
2.50000000e+01, 7.31373072e+00
2.60000000e+01, 7.23013449e+00
2.70000000e+01, 7.14654732e+00
2.80000000e+01, 7.06296873e+00
2.90000000e+01, 6.97926712e+00
3.00000000e+01, 6.90487194e+00
3.10000000e+01, 6.83168840e+00
3.20000000e+01, 6.75851250e+00
3.30000000e+01, 6.68534374e+00
3.40000000e+01, 6.61244631e+00
3.50000000e+01, 6.54898787e+00
3.60000000e+01, 6.48554468e+00
3.70000000e+01, 6.42211533e+00
3.80000000e+01, 6.35870075e+00
3.90000000e+01, 6.29675627e+00
4.00000000e+01, 6.24151182e+00
4.10000000e+01, 6.18627119e+00
4.20000000e+01, 6.13103247e+00
4.30000000e+01, 6.07579756e+00
4.40000000e+01, 6.02278709e+00
4.50000000e+01, 5.97431707e+00
4.60000000e+01, 5.92583370e+00
4.70000000e+01, 5.87733650e+00
4.80000000e+01, 5.82882500e+00
4.90000000e+01, 5.78107834e+00
5.00000000e+01, 5.73418331e+00
5.10000000e+01, 5.68729687e+00
5.20000000e+01, 5.64041805e+00
5.30000000e+01, 5.59354782e+00
5.40000000e+01, 5.54957867e+00
5.50000000e+01, 5.50735569e+00
5.60000000e+01, 5.46513510e+00
5.70000000e+01, 5.42291737e+00
5.80000000e+01, 5.38070250e+00
5.90000000e+01, 5.34209108e+00
6.00000000e+01, 5.30454254e+00
6.10000000e+01, 5.26699495e+00
6.20000000e+01, 5.22944832e+00
6.30000000e+01, 5.19190264e+00
6.40000000e+01, 5.15738678e+00
6.50000000e+01, 5.12314129e+00
6.60000000e+01, 5.08889866e+00
6.70000000e+01, 5.05465841e+00
6.80000000e+01, 5.02062416e+00
6.90000000e+01, 4.98935461e+00
7.00000000e+01, 4.95808935e+00
7.10000000e+01, 4.92682838e+00
7.20000000e+01, 4.89557028e+00
7.30000000e+01, 4.86488152e+00
7.40000000e+01, 4.83625746e+00
7.50000000e+01, 4.80763769e+00
7.60000000e+01, 4.77902079e+00
7.70000000e+01, 4.75040817e+00
7.80000000e+01, 4.72273779e+00
7.90000000e+01, 4.69672251e+00
8.00000000e+01, 4.67071533e+00
8.10000000e+01, 4.64471579e+00
8.20000000e+01, 4.61872530e+00
8.30000000e+01, 4.59365940e+00
8.40000000e+01, 4.56947994e+00
8.50000000e+01, 4.54530239e+00
8.60000000e+01, 4.52112627e+00
8.70000000e+01, 4.49695253e+00
8.80000000e+01, 4.47556305e+00
8.90000000e+01, 4.45561886e+00
9.00000000e+01, 4.43567514e+00
9.10000000e+01, 4.41573191e+00
9.20000000e+01, 4.39579058e+00
9.30000000e+01, 4.37739086e+00
9.40000000e+01, 4.35935974e+00
9.50000000e+01, 4.34132624e+00
9.60000000e+01, 4.32328939e+00
9.70000000e+01, 4.30525017e+00
9.80000000e+01, 4.28814888e+00
9.90000000e+01, 4.27109575e+00
1.00000000e+02, 4.25404310e+00
1.01000000e+02, 4.23699141e+00
1.02000000e+02, 4.22004557e+00
1.03000000e+02, 4.20403528e+00
1.04000000e+02, 4.18803406e+00
1.05000000e+02, 4.17204094e+00
1.06000000e+02, 4.15605783e+00
1.07000000e+02, 4.14034939e+00
1.08000000e+02, 4.12544441e+00
1.09000000e+02, 4.11053991e+00
1.10000000e+02, 4.09563398e+00
1.11000000e+02, 4.08072853e+00
1.12000000e+02, 4.06712151e+00
1.13000000e+02, 4.05548382e+00
1.14000000e+02, 4.04383659e+00
1.15000000e+02, 4.03217983e+00
1.16000000e+02, 4.02051449e+00
1.17000000e+02, 4.00848007e+00
1.18000000e+02, 3.99614000e+00
1.19000000e+02, 3.98380399e+00
1.20000000e+02, 3.97147346e+00
1.21000000e+02, 3.95914745e+00
1.22000000e+02, 3.94789791e+00
1.23000000e+02, 3.93712711e+00
1.24000000e+02, 3.92635751e+00
1.25000000e+02, 3.91558933e+00
1.26000000e+02, 3.90482306e+00
1.27000000e+02, 3.89166331e+00
1.28000000e+02, 3.87804484e+00
1.29000000e+02, 3.86442637e+00
1.30000000e+02, 3.85080671e+00
1.31000000e+02, 3.83718634e+00
1.32000000e+02, 3.82905197e+00
1.33000000e+02, 3.82098269e+00
