Chart Count,Wall Shear Y [ Pa ]
0.00000000e+00, 5.86133575e+00
1.00000000e+00, 5.80522060e+00
2.00000000e+00, 5.74882984e+00
3.00000000e+00, 5.69292355e+00
4.00000000e+00, 5.63688374e+00
5.00000000e+00, 5.58083630e+00
6.00000000e+00, 5.57153702e+00
7.00000000e+00, 5.56191158e+00
8.00000000e+00, 5.55228138e+00
9.00000000e+00, 5.54265404e+00
1.00000000e+01, 5.53338718e+00
1.10000000e+01, 5.54838657e+00
1.20000000e+01, 5.56331635e+00
1.30000000e+01, 5.57825375e+00
1.40000000e+01, 5.59318686e+00
1.50000000e+01, 5.60807943e+00
1.60000000e+01, 5.62318802e+00
1.70000000e+01, 5.63825035e+00
1.80000000e+01, 5.65331173e+00
1.90000000e+01, 5.66838217e+00
2.00000000e+01, 5.68352699e+00
2.10000000e+01, 5.70147991e+00
2.20000000e+01, 5.71941090e+00
2.30000000e+01, 5.73734140e+00
2.40000000e+01, 5.75528145e+00
2.50000000e+01, 5.77330494e+00
2.60000000e+01, 5.79345798e+00
2.70000000e+01, 5.81360149e+00
2.80000000e+01, 5.83374500e+00
2.90000000e+01, 5.85389948e+00
3.00000000e+01, 5.87397146e+00
3.10000000e+01, 5.89274216e+00
3.20000000e+01, 5.91150856e+00
3.30000000e+01, 5.93027496e+00
3.40000000e+01, 5.94904137e+00
3.50000000e+01, 5.96748066e+00
3.60000000e+01, 5.98083067e+00
3.70000000e+01, 5.99417877e+00
3.80000000e+01, 6.00752735e+00
3.90000000e+01, 6.02087641e+00
4.00000000e+01, 6.03427219e+00
4.10000000e+01, 6.04827118e+00
4.20000000e+01, 6.06227064e+00
4.30000000e+01, 6.07627010e+00
4.40000000e+01, 6.09026909e+00
4.50000000e+01, 6.10433674e+00
4.60000000e+01, 6.11922121e+00
4.70000000e+01, 6.13410568e+00
4.80000000e+01, 6.14898968e+00
4.90000000e+01, 6.16387367e+00
5.00000000e+01, 6.17863464e+00
5.10000000e+01, 6.19211102e+00
5.20000000e+01, 6.20558643e+00
5.30000000e+01, 6.21906137e+00
5.40000000e+01, 6.23253679e+00
5.50000000e+01, 6.24588394e+00
5.60000000e+01, 6.25802612e+00
5.70000000e+01, 6.27016830e+00
5.80000000e+01, 6.28231049e+00
5.90000000e+01, 6.29445219e+00
6.00000000e+01, 6.30675125e+00
6.10000000e+01, 6.32039738e+00
6.20000000e+01, 6.33404446e+00
6.30000000e+01, 6.34769154e+00
6.40000000e+01, 6.36133862e+00
6.50000000e+01, 6.37606049e+00
6.60000000e+01, 6.39922428e+00
6.70000000e+01, 6.42238808e+00
6.80000000e+01, 6.44555140e+00
6.90000000e+01, 6.46871519e+00
7.00000000e+01, 6.49065161e+00
7.10000000e+01, 6.50373268e+00
7.20000000e+01, 6.51681423e+00
7.30000000e+01, 6.52989483e+00
7.40000000e+01, 6.54297543e+00
7.50000000e+01, 6.55487585e+00
7.60000000e+01, 6.55890369e+00
7.70000000e+01, 6.56293106e+00
7.80000000e+01, 6.56695890e+00
7.90000000e+01, 6.57098675e+00
8.00000000e+01, 6.57635641e+00
8.10000000e+01, 6.59002542e+00
8.20000000e+01, 6.60369492e+00
8.30000000e+01, 6.61736488e+00
8.40000000e+01, 6.63103390e+00
8.50000000e+01, 6.64475727e+00
8.60000000e+01, 6.65878677e+00
8.70000000e+01, 6.67281628e+00
8.80000000e+01, 6.68684578e+00
8.90000000e+01, 6.70087481e+00
9.00000000e+01, 6.71546745e+00
9.10000000e+01, 6.73309565e+00
9.20000000e+01, 6.75072384e+00
9.30000000e+01, 6.76835155e+00
9.40000000e+01, 6.78597927e+00
9.50000000e+01, 6.80489016e+00
9.60000000e+01, 6.83028364e+00
9.70000000e+01, 6.85567760e+00
9.80000000e+01, 6.88107157e+00
9.90000000e+01, 6.90646505e+00
1.00000000e+02, 6.92895555e+00
1.01000000e+02, 6.93765974e+00
1.02000000e+02, 6.94636536e+00
1.03000000e+02, 6.95507050e+00
1.04000000e+02, 6.96377563e+00
1.05000000e+02, 6.97103548e+00
1.06000000e+02, 6.97182989e+00
1.07000000e+02, 6.97262430e+00
1.08000000e+02, 6.97341919e+00
1.09000000e+02, 6.97421360e+00
1.10000000e+02, 6.97671890e+00
1.11000000e+02, 6.98645020e+00
1.12000000e+02, 6.99618101e+00
1.13000000e+02, 7.00591230e+00
1.14000000e+02, 7.01564360e+00
1.15000000e+02, 7.02730227e+00
1.16000000e+02, 7.04666424e+00
1.17000000e+02, 7.06602526e+00
1.18000000e+02, 7.08538628e+00
1.19000000e+02, 7.10474777e+00
1.20000000e+02, 7.12320232e+00
1.21000000e+02, 7.13822079e+00
1.22000000e+02, 7.15323877e+00
1.23000000e+02, 7.16825676e+00
1.24000000e+02, 7.18327475e+00
1.25000000e+02, 7.19618845e+00
1.26000000e+02, 7.20153666e+00
1.27000000e+02, 7.20688438e+00
1.28000000e+02, 7.21223259e+00
1.29000000e+02, 7.21758032e+00
1.30000000e+02, 7.22276735e+00
1.31000000e+02, 7.22740555e+00
1.32000000e+02, 7.23204327e+00
1.33000000e+02, 7.23668146e+00
1.34000000e+02, 7.24131966e+00
1.35000000e+02, 7.24717855e+00
1.36000000e+02, 7.25701380e+00
1.37000000e+02, 7.26684856e+00
1.38000000e+02, 7.27668381e+00
1.39000000e+02, 7.28651905e+00
1.40000000e+02, 7.29572535e+00
1.41000000e+02, 7.30298090e+00
1.42000000e+02, 7.31023598e+00
1.43000000e+02, 7.31749153e+00
1.44000000e+02, 7.32474709e+00
1.45000000e+02, 7.33177614e+00
1.46000000e+02, 7.33813715e+00
1.47000000e+02, 7.34449720e+00
1.48000000e+02, 7.35085726e+00
1.49000000e+02, 7.35721779e+00
1.50000000e+02, 7.36311817e+00
1.51000000e+02, 7.36771488e+00
1.52000000e+02, 7.37231159e+00
1.53000000e+02, 7.37690926e+00
1.54000000e+02, 7.38150597e+00
1.55000000e+02, 7.38747740e+00
1.56000000e+02, 7.39716816e+00
1.57000000e+02, 7.40685940e+00
1.58000000e+02, 7.41655016e+00
1.59000000e+02, 7.42624140e+00
1.60000000e+02, 7.43739700e+00
1.61000000e+02, 7.45234585e+00
1.62000000e+02, 7.46729469e+00
1.63000000e+02, 7.48224354e+00
1.64000000e+02, 7.49719238e+00
1.65000000e+02, 7.51051235e+00
1.66000000e+02, 7.51979065e+00
1.67000000e+02, 7.52906895e+00
1.68000000e+02, 7.53834724e+00
1.69000000e+02, 7.54762554e+00
1.70000000e+02, 7.55583382e+00
1.71000000e+02, 7.56149769e+00
1.72000000e+02, 7.56716061e+00
1.73000000e+02, 7.57282400e+00
1.74000000e+02, 7.57848692e+00
1.75000000e+02, 7.58509922e+00
1.76000000e+02, 7.59387922e+00
1.77000000e+02, 7.60265827e+00
1.78000000e+02, 7.61143780e+00
